NAME                                              STATUS    ISIN CODE           CODE      TRADING COUNTER NAME
3CNERGY LIMITED                                             SG0502000029        502       3Cnergy
TEMASEKFINS$1B4.2%N500802                                   SG7W86960343        4HOB      TemasekFn4.2%500802S
TEMASEKFINS$300M4%N291207                                   SG7U76951353        4AZB      TemasekFn4%291207 S
TEMASEKFINS$300M4.2%N391207                                 SG7U77951360        4BAB      TemasekFn4.2%391207S
TEMASEKFINS$500M3.785%N250305                               SG7V35954653        4DGB      Temasek3.785%250305S
TEMASEKFINS$500M4.0475%N350305                              SG7V36954660        4DHB      Temase4.0475%350305S
TEMASEKFIUS$1.2B2.375%N230123A                              US87973PAC86        2FNB      TemasekFn2.375%230123A
TEMASEKFIUS$1.2B2.375%N230123R                              US87973RAC43        2FOB      TemasekFn2.375%230123R
TEMASEKFIUS$1B2.25%N510406A                                 US87973PAV67        ZV2B      TemasekFn2.25%510406A
TEMASEKFIUS$1B2.25%N510406R                                 US87973RAV24        NJWB      TemasekFn2.25%510406R
TEMASEKFIUS$1B2.5%N701006A                                  US87973PAW41        QGNB      TemasekFn2.5%701006A
TEMASEKFIUS$1B2.5%N701006R                                  US87973RAW07        TOXB      TemasekFn2.5%701006R
TEMASEKFIUS$1B2.75%N610802A                                 US87973PBC77        9JJB      TemasekFn2.75%610802A
TEMASEKFIUS$1B2.75%N610802R                                 US87973RBC34        KFRB      TemasekFn2.75%610802R
TEMASEKFIUS$500M3.375%N420723A                              US87973PAD69        2FPB      TemasekFn3.375%420723A
TEMASEKFIUS$500M3.375%N420723R                              US87973RAD26        2FQB      TemasekFn3.375%420723R
TEMASEKFIUS$750M1%N301006A                                  US87973PAU84        VS7B      TemasekFn1%301006A
TEMASEKFIUS$750M1%N301006R                                  US87973RAU41        MGTB      TemasekFn1%301006R
TEMASEKFIUS$750M1.625%N310802A                              US87973PBA12        RSGB      TemasekFn1.625%310802A
TEMASEKFIUS$750M1.625%N310802R                              US87973RBA77        LJYB      TemasekFn1.625%310802R
TEMASEKFIUS$750M2.375%N410802A                              US87973PBB94        Y4HB      TemasekFn2.375%410802A
TEMASEKFIUS$750M2.375%N410802R                              US87973RBB50        HTPB      TemasekFn2.375%410802R
TEMASEKFUS$1.35B3.625%N280801A                              US87973PAE43        ORXB      TemasekF3.625%280801A
TEMASEKFUS$1.35B3.625%N280801R                              US87973RAE09        KUQB      TemasekF3.625%280801R
TEMASEKFUS$500M5.375%N391123A                               US87973PAB04        4AUB      Temasek5.375%391123A
TEMASEKFUS$500M5.375%N391123S                               US87973RAB69        4AVB      Temasek5.375%391123S
TENCENT 5XLONGSOCGEN 220808                                 LU2267110588        DDLW      Tencent 5xLongSG220808
TENCENT 5XLONGSOCGEN 230330                                 LU2348850814        DGGW      Tencent 5xLongSG230330
TENCENT 5XLONGSOCGEN 231214                                 LU2267116197        DIHW      Tencent 5xLongSG231214
TENCENT 5XLONGUBS 241231                                    CH1166048053        TSGW      Tencent 5xLongUB241231
TENCENT 5XLONGUBS 250228                                    CH1169123796        OOSW      Tencent 5xLongUB250228
TENCENT 5XLONGUBS 250430                                    CH1169124158        YT4W      Tencent 5xLongUB250430
TENCENT 5XSHORTSOCGEN 230202                                LU2184317639        DTCW      Tencent 5xShortSG230202
TENCENT 5XSHORTSOCGEN 230330                                LU2348851549        DFDW      Tencent 5xShortSG230330
TENCENT 5XSHORTSOCGEN 230712                                LU1986500137        DTSW      Tencent 5xShortSG230712
TENCENT 5XSHORTSOCGEN 231214                                LU1986504808        DMIW      Tencent 5xShortSG231214
TENCENT 5XSHORTUBS 241231                                   CH1166430277        TYTW      Tencent 5xShortUB241231
TENCENT 5XSHORTUBS 250228                                   CH1169123804        9QEW      Tencent 5xShortUB250228
TENCENTHLD MB ECW221004                                     SGXN58288717        HIYW      TencentMBeCW221004
TENCENTHLD MB EPW221202                                     SGXN25813738        90GW      TencentMBePW221202
TENNESSEE VALLEY BD6.75%251101                              US880591CJ98        693B      TVA bd6.75%251101
TERMOCPWRUS$410M7.875%N290130A                              US880879AA92        JYFB      TermoCPwrn7.875%290130A
TERMOCPWRUS$410M7.875%N290130R                              USG8762FAB60        PMRB      TermoCPwrn7.875%290130R
TERUMOCORPJPY50BN211206                                     XS1139279845        21MB      TerumoCorp n211206S
TEWOO GP US$200M5.5%B220406                                 XS1592506957        6R3B      Tewoo Gpb5.5%220406S
TEWOO GP US$300M4.625%B200406                               XS1587894343        6R2B      Tewoo Gpb4.625%200406S
TEWOO GP4 US$500M3.15%B201201                               XS1725553736        86GB      Tewoo Gp4b3.15%201201S
TEWOO GP5 US$450M5.8%PCS                                    XS1789638480        8MEB      Tewoo Gp5 5.8%PCS S
TEWOO US$300M4.5%N191216                                    XS1529757830        66MB      Tewoo n4.5%191216S
TH INT US$50MF261210A                                       US87251CAA45        TWTB      TH Int f261210A
THAI BEVERAGE PUBLIC CO LTD                                 TH0902010014        Y92       ThaiBev
THAIBEV 5XLONGSOCGEN231115                                  LU2267114572        QAHW      ThaiBev 5xLongSG231115
THAIBEV 5XSHORTSOCGEN231115                                 LU2267114655        ELTW      ThaiBev 5xShortSG231115
THAIOILPUBUS$500M3.625%230123A                              US88322MAA53        2OCB      ThaiOil3.625%230123A
THAIOILPUBUS$500M3.625%230123R                              USY8620BAP68        2ODB      ThaiOil3.625%230123R
THAIOILPUBUS$500M4.875%430123A                              US88322MAB37        2OEB      ThaiOil4.875%430123A
THAIOILPUBUS$500M4.875%430123R                              USY8620BAQ42        2OFB      ThaiOil4.875%430123R
THAIOILTREUS$400M2.5%N300618A                               US88322YAK73        FDEB      ThaiOilTr n2.5%300618A
THAIOILTREUS$400M2.5%N300618R                               US88323AAG76        ITTB      ThaiOilTr n2.5%300618R
THAIOILTREUS$400M4.625%281120A                              US88322YAC57        EMLB      ThaiOilTr4.625%281120A
THAIOILTREUS$400M4.625%281120R                              US88323AAC62        V4NB      ThaiOilTr4.625%281120R
THAIOILTREUS$565M3.5%491017A                                US88322YAE14        VUVB      ThaiOilTr3.5%491017A
THAIOILTREUS$565M3.5%491017R                                US88323AAE29        V9IB      ThaiOilTr3.5%491017R
THAIOILTREUS$600M3.75%N500618A                              US88322YAL56        45FB      ThaiOilTr n3.75%500618A
THAIOILTREUS$600M3.75%N500618R                              US88323AAH59        TWFB      ThaiOilTr n3.75%500618R
THAIOILTREUS$600M5.375%481120A                              US88322YAD31        9VLB      ThaiOilTr5.375%481120A
THAIOILTREUS$600M5.375%481120R                              US88323AAD46        EQGB      ThaiOilTr5.375%481120R
THAIOIUS$283.619M3.625%230123A                              US88322YAA91        8QQB      ThaiOil n3.625%230123A
THAIOIUS$283.619M3.625%230123R                              US88323AAA07        8QRB      ThaiOil n3.625%230123R
THAIOIUS$327.587M4.875%430123A                              US88322YAB74        8QSB      ThaiOil n4.875%430123A
THAIOIUS$327.587M4.875%430123R                              US88323AAB89        8QTB      ThaiOil n4.875%430123R
THAKRAL CORPORATION LTD                                     SG1AJ2000005        AWI       Thakral
THE HOUR GLASS LIMITED                                      SG1AE9000009        AGS       TheHourGlass
THE PLACE HOLDINGS LIMITED                                  SG1Q02920318        E27       The Place Hldg
THE SHIZUOKA BKUS$300MCB230125                              XS1744326940        8FRB      Shizuoka cb230125 S
THE TRENDLINES GROUP LTD.                                   IL0011328858        42T       Trendlines
THECHIBABANKUS$300M1.35%260908                              XS2382296858        FXQB      TheChibaBk n1.35%260908S
THECHIBABANKUS$300M2.55%191030                              XS1121344920        19QB      TheChibaBk n2.55%191030S
THECHIBABANKUS$300M2.65%241030                              XS2066405536        KADB      TheChibaBk n2.65%241030S
THECHUGOKEUSD300M3.488%B240228                              XS1912824858        RCYB      TheChugokEb3.488%240228S
THECHUGOKUUSD500M2.401%B240827                              XS2043658819        JQKB      TheChugokub2.401%240827S
THEDAI_ICHILIFE US$2.5B4%PSECR                              USJ09748AD66        4L2B      The Dai-Ichi 4%PSec R
THEDAI-ICHILIFE US$1B5.1%PSECA                              US23380YAC12        19LB      The Dai-Ichi 5.1%PSec A
THEDAI-ICHILIFE US$1B5.1%PSECR                              USJ09748AC83        19MB      The Dai-Ichi 5.1%PSec R
THEDAI-ICHILIFE US$2.5B4%PSECA                              US23380YAD94        4L1B      The Dai-Ichi 4%PSec A
THEISRAELELEUS$1B7.25%N190115A                              US46507MAA09        3QFB      IsraelEn7.25%190115A
THEISRAELELEUS$1B7.25%N190115R                              US46507NAA81        3QGB      IsraelEn7.25%190115R
THEISRAELUS$500M6.875%N230621A                              US46507MAE21        2WWB      IsraelEn6.875%230621A
THEISRAELUS$500M6.875%N230621R                              US46507NAE04        2WXB      IsraelEn6.875%230621R
THEISRAELUS$600M5.625%N180621A                              US46507MAD48        2WUB      IsraelEn5.625%180621A
THEISRAELUS$600M5.625%N180621R                              US46507NAD21        2WVB      IsraelEn5.625%180621R
THEKANSAIE US$500M2.55%B240917                              XS2045072282        KQLB      TheKansaiE b2.55%240917S
THENORINB US$500M1.284%260922A                              US656029AG08        YLJB      TheNorinB n1.284%260922A
THENORINB US$500M1.284%260922R                              USJ5901UAC65        8F4B      TheNorinB n1.284%260922R
THENORINB US$500M2.08%310922A                               US656029AH80        YEWB      TheNorinB n2.08%310922A
THENORINB US$500M2.08%310922R                               USJ5901UAD49        GMGB      TheNorinB n2.08%310922R
THESOUTHNUS$500M5.325%N570621A                              US842587CZ86        75MB      TheSouthn n5.325%570621A
THESOUTHNUS$500M5.325%N570621R                              USU84258AC36        75NB      TheSouthn n5.325%570621R
THETA CAP US$325M8.125%N250122                              XS2099273737        VPAB      ThetaCap n8.125%250122S
THETA CAP US$425M6.75%N261031                               XS1506085114        61AB      ThetaCap n6.75%261031S
THETA CAPITAL US$150M7%N190516                              XS0780192471        2DBB      ThetaCap 7%190516S
THOMSON MED S$175M4.05%N250128                              SGXF89249654        RMEB      ThomsonM n4.05%250128S
THOMSON MED S$225M4.8%N220718                               SGXF90488481        YRYB      ThomsonM n4.8%220718S
THOMSON MEDICAL GROUP LIMITED                               SG1M49904634        A50       Thomson Medical
THREEGORGESUS$1B 3.15%260602A                               US88556LAC00        4E1B      ThreeGorgesn3.15%260602A
THREEGORGESUS$1B 3.15%260602R                               USG8850LAC49        4E0B      ThreeGorgesn3.15%260602R
THREEGORGESUS$350M3.2%N491016                               XS2053345992        JGNB      ThreeGorgesn3.2%491016S
THREEGORGESUS$500M1.3%N250922A                              US88556LAD82        IYQB      ThreeGorges n1.3%250922A
THREEGORGESUS$500M1.3%N250922R                              USG8850LAF79        PSWB      ThreeGorges n1.3%250922R
THREEGORGESUS$500M2.3%210602A                               US88556LAB27        4E2B      ThreeGorgesn2.3%210602A
THREEGORGESUS$500M2.3%210602R                               USG8850LAB65        4E3B      ThreeGorgesn2.3%210602R
THREEGORGESUS$500M2.3%N241016                               XS2053345646        WHLB      ThreeGorgesn2.3%241016S
THREEGORGESUS$700M 3.7%250610A                              US88556LAA44        30YB      ThreeGorges3.7%250610A
THREEGORGESUS$700M 3.7%250610R                              USG8850LAA82        30ZB      ThreeGorges3.7%250610R
THREEGORGEUS$500M2.15%N300922A                              US88556LAE65        WWIB      ThreeGorgesn2.15%300922A
THREEGORGEUS$500M2.15%N300922R                              USG8850LAG52        VFAB      ThreeGorgesn2.15%300922R
TIANJIN PHARM DA REN TANG GRP                               CNE100000924        T14       TJ DaRenTang USD
TIH LIMITED                                                 SG1A82000914        T55       TIH
TINGYI US$500M1.625%N250924                                 XS2225678312        VXPB      Tingyi n1.625%250924S
TIONG SENG HOLDINGS LIMITED                                 SG1BH4000005        BFI       Tiong Seng
TIONG WOON CORP HOLDING LTD                                 SG1CF7000004        BQM       Tiong Woon
TLFF I US$15M2%N330223                                      XS1754749353        8LPB      TLFFI n2%330223S
TLFF I US$15M8.375%N230223                                  XS1754743232        8LNB      TLFFI n8.375%230223S
TLFF I US$15M8.875%N250223                                  XS1754746334        8LOB      TLFFI n8.875%250223S
TLFF I US$20M9%N330223                                      XS1754737937        8LMB      TLFFI n9%330223S
TLFF I US$30M4.136%N330223                                  XS1754730502        8LLB      TLFFI n4.136%330223S
TMB BANK CNY600M5.5%N180309                                 XS1155120485        25KB      TMB 5.5%180309S
TMBTHANA BK US$400M4.9%PCS                                  XS2084378798        EFNB      TMB 4.9%PCS S
TML HLDG GBP98M 4%N230720                                   XS2208644489        PLTB      TML n4%230720S
TML HLDG US$300M 5.5%N240603                                XS2265528120        YELB      TML n5.5%240603S
TML HLDG US$425M 4.35%N260609                               XS2350621517        PDDB      TML n4.35%260609S
TNBGBLUS$750M3.244%SUKUK261019                              XS1505674918        4Z5B      TNB Gbl suk3.244%261019S
TNBGBLUS$750M4.851%SUKUK281101                              XS1897339096        VNTB      TNB Gbl suk4.851%281101S
TONGYANG US$300M5.25%PERCAPSEC                              XS2229476184        VMKB      Tongyang 5.25%PerCapSecS
TOP GLOVE CORPORATION BHD                                   MYL7113OO003        BVA       Top Glove
TOP GLOVE MB ECW220831                                      SGXN44244048        YKMW      Top Glove MB eCW220831
TOP GLOVE MB ECW220930                                      SGXN58943766        QZBW      Top Glove MB eCW220930
TOP GLOVE MB ECW230330                                      SGXN42704803        R94W      Top Glove MB eCW230330
TORCHMARKCUS$125M5.275%N571117                              US891027AR59        85GB      TorchmarkCn5.275%571117S
TOSEI CORPORATION                                           JP3595070008        S2D       Tosei
TOTAL PLAY US$575M7.5%N251112A                              US89157FAA84        YVGB      Total Play n7.5%251112A
TOTAL PLAY US$575M7.5%N251112R                              USP9190NAB93        QLEB      Total Play n7.5%251112R
TOTALPLAYUS$600M6.375%N280920A                              US89157FAC41        FPCB      TotalPlayn6.375%280920A
TOTALPLAYUS$600M6.375%N280920R                              USP9190NAC76        LARB      TotalPlayn6.375%280920R
TOTM TECHNOLOGIES LIMITED                                   SG1BF8000005        42F       Totm Tech
TOYOTA MOTOR ADR 10                                         US8923313071        N6FD      TM ADR US$
TOYOTA US$500M3.235%N230316A                                US892330AB73        8MSB      Toyota n3.235%230316A
TOYOTA US$500M3.235%N230316R                                USJ92628BL90        8MTB      Toyota n3.235%230316R
TOYOTA US$500M3.566%N280316A                                US892330AC56        8MUB      Toyota n3.566%280316A
TOYOTA US$500M3.566%N280316R                                USJ92628BM73        8MVB      Toyota n3.566%280316R
TOYOTAINDCF US$30M F250212                                  XS2117445887        KJJB      ToyotaIndCF f250212S
TOYOTATSUUS$500M2.596%B240919                               XS2051061625        XGPB      ToyotaTsub2.596%240919S
TOYOTATSUUS$500M3.625%B230913                               XS1873973165        LUGB      ToyotaTsub3.625%230913S
TRAFIGURA EUR262.5M7.5%PERSEC                               XS2034073606        OESB      Trafigura 7.5%PerSec
TRAFIGURA EUR262.5M7.5%PERSECR                              XS2033327854        55GB      Trafigura 7.5%PerSec R
TRAFIGURA US$200M6.875%PERSECT                              XS1721426481        85JB      Trafigura 6.875%PSecT
TRAFIGURA USD400M5.875%PERSEC                               XS2385642041        KUDB      Trafigura 5.875%PerSecS
TRANDEGAS US$750M5.55%N281101A                              US89387YAC57        LTGB      TranDeGas n5.55%281101A
TRANDEGAS US$750M5.55%N281101R                              USP93077AC28        JQFB      TranDeGas n5.55%281101R
TRANSASIA AIR US$75M CB181129                               XS0979033106        2O1B      TransAsia Air cb181129S
TRANS-CHINA AUTOMOTIVE HOLDINGS LIMITED                     KYG9005M1006        VI2       TC Auto
TRANSIT-MIXED CONCRETE LTD                                  SG1F41856716        570       Transit Concrete
TRANSJAMA US$225M5.75%N361010A                              US893727AA57        VQ1B      TransJama n5.75%361010A
TRANSJAMA US$225M5.75%N361010R                              USP92649AA39        LIPB      TransJama n5.75%361010R
TRANSURBAN EUR350M1.701%N340703                             XS2021470898        KCPB      Transurban1.701%340701S
TRANSURBAN EUR500M1.75%N280329                              XS1681520786        7W1B      Transurban n1.75%280329S
TRANSURBAN EUR500M2%N250828                                 XS1239502328        30HB      Transurban n2%250828S
TRANSURBAN EUR600M1.45%N290516                              XS1997077364        TWPB      Transurban n1.45%290516S
TRANSURBAN NOK750M3%N270726                                 XS1449824108        4M7B      Transurban n3%270726S
TRANSURBAN US$500M4.5%N280419                               XS1808838434        8RTB      Transurban n4.5%280419S
TRANSURBANEUR600M1.875%N240916                              XS1109744778        15ZB      Transurbann1.875%240916S
TRAVELITE HOLDINGS LTD.                                     SG1BF1000002        BCZ       Travelite
TRAVELLERSIHUS$300M6.9%N171103                              XS0550702889        4NFB      Travellern6.9%171103S
TREK 2000 INT'L LTD                                         SG1I59882965        5AB       Trek 2000 Intl
TRICKLESTAR LIMITED                                         SGXE45760753        CYW       TrickleStar
TRIKOMSEL S$100M 7.875%N170605                              SG6QG3000005        3R5B      Trikomseln7.875%170605S
TRIKOMSEL S$115M 5.25%N160510                               SG55I2992272        2UTB      Trikomseln5.25%160510S
TRINIDADGENUS$600M5.25%271104A                              US89636DAA46        61HB      TrinidadGen5.25%271104A
TRINIDADGENUS$600M5.25%271104R                              USP9400VAA90        61IB      TrinidadGen5.25%271104R
TRIP.COM GROUP ADR 10                                       US89677Q1076        K3RD      TRIP ADR US$+
TRITECH GROUP LIMITED                                       SG2G71000001        5G9       Tritech
TRIYARDS HOLDINGS LIMITED                                   SG2F20985956        RC5       Triyards
TSH CORPORATION LTD                                         SGXE89604008        KUH       TSH
TSMCARIZONAUS$1.25B1.75%261025                              US872898AA96        48BB      TSMCArizona 1.75%261025S
TSMCARIZONAUS$1.25B2.5%311025                               US872898AC52        EACB      TSMCArizona 2.5%311025S
TSMCARIZONAUS$1B3.125%411025                                US872898AD36        OHIB      TSMCArizona3.125%411025S
TSMCARIZONAUS$1B3.25%511025                                 US872898AE19        HLUB      TSMCArizona3.25%511025S
TSMCARIZONAUS$1B3.875%N270422                               US872898AF83        GBKB      TSMCArizona3.875%270422S
TSMCARIZONAUS$1B4.25%N320422                                US872898AH40        5E9B      TSMCArizonan4.25%320422S
TSMCARIZONAUS$1B4.5%N520422                                 US872898AJ06        9X8B      TSMCArizona n4.5%520422S
TSMCARIZONUS$500M4.125%N290422                              US872898AG66        QTLB      TSMCArizona4.125%290422S
TSMCGLO US$1.1B1.25%N260423A                                US872882AH89        XEOB      TSMCGlob n1.25%260423A
TSMCGLO US$1.1B1.25%N260423R                                USG91139AF57        58QB      TSMCGlob n1.25%260423R
TSMCGLO US$1.25B1.375%N300928A                              US872882AG07        LJWB      TSMCGlob n1.375%300928A
TSMCGLO US$1.25B1.375%N300928R                              USG91139AE82        W1CB      TSMCGlob n1.375%300928R
TSMCGLO US$1.5B2.25%N310423A                                US872882AK19        Y0VB      TSMCGlob n2.25%310423A
TSMCGLO US$1.5B2.25%N310423R                                USG91139AH14        IWOB      TSMCGlob n2.25%310423R
TSMCGLO US$1B0.75%N250928A                                  US872882AE58        PHVB      TSMCGlob n0.75%250928A
TSMCGLO US$1B0.75%N250928R                                  USG91139AC27        HFEB      TSMCGlob n0.75%250928R
TSMCGLO US$900M1.75%N280423A                                US872882AJ46        TQAB      TSMCGlob n1.75%280423A
TSMCGLO US$900M1.75%N280423R                                USG91139AG31        ULRB      TSMCGlob n1.75%280423R
TSMCGLOUS$1.15B1.625%N180403A                               US872882AC92        2SQB      TSMCGlob1.625%180403A
TSMCGLOUS$1.15B1.625%N180403R                               USG91139AB44        2SRB      TSMCGlob1.625%180403R
TSMCGLOUS$750M1%N270928A                                    US872882AF24        XNTB      TSMCGlobn1%270928A
TSMCGLOUS$750M1%N270928R                                    USG91139AD00        HKEB      TSMCGlobn1%270928R
TT INTERNATIONAL LIMITED                                    SG1I71883728        T09       TT Intl
TTJ HOLDINGS LIMITED                                        SG1Z68955660        K1Q       TTJ
TUAN SING HOLDINGS LIMITED                                  SG2D13002373        T24       Tuan Sing
TUAN SING S$200M6.9%N241018                                 SGXF30090785        QEFB      TuanSing n6.9%241018S
TUNG LOK RESTAURANTS(2000) LTD                              SG1J65890803        540       Tung Lok Rest
TUNGHSU US$350M 7.0%N200612                                 XS1627203331        74TB      TunghsuVen n7%200612S
TUPYOVERSEAUS$375M4.5%N310216A                              US89990BAB62        9N1B      TupyOversean4.5%310216A
TUPYOVERSEAUS$375M4.5%N310216R                              USL9326VAB29        OWAB      TupyOversean4.5%310216R
TVAZTECA US$400M8.25%N240809                                XS1662406468        7F9B      TVAZTECA n8.25%240809S
TYE SOON LTD                                                SG1BH8000001        BFU       Tye Soon
UEPPENOUS$262.664M6.5%N381001A                              US90363PAA49        KPAB      UEPPenonome n6.5%381001A
UEPPENOUS$262.664M6.5%N381001R                              USP9434RAA88        XB2B      UEPPenonome n6.5%381001R
UG HEALTHCARE CORPORATIONLTD                                SGXE48766716        8K7       UGHealthcare
ULTRATECHUS$400M2.8%N310216A                                US90403YAA73        MTZB      UltraTech n2.8%310216A
ULTRATECHUS$400M2.8%N310216R                                USY9048BAA18        WQ5B      UltraTech n2.8%310216R
UMS HOLDINGS LIMITED                                        SG1J94892465        558       UMS
UNI-ASIA GROUP LIMITED                                      SG1DG7000000        CHJ       Uni-Asia Grp
UNIGELLUXUS$420M8.75%N261001A                               US904752AB83        XS5B      UnigelLux n8.75%N261001A
UNIGELLUXUS$420M8.75%N261001R                               USL9467UAB37        MBZB      UnigelLux n8.75%N261001R
UNION GAS HOLDINGS LIMITED                                  SG1DI1000002        1F2       Union Gas
UNION STEEL HOLDINGS LIMITED                                SG1CC2000006        BLA       Union Steel
UNIONBKPHIUS$300M2.125%N251022                              XS2244367269        WGZB      UnionBkPhi2.125%251022S
UNIONBKPHIUS$500M3.369%N221129                              XS1725337445        86HB      UnionBkPhi3.369%221129S
UNITED FOOD HOLDINGS LIMITED                                BMG9232V2045        AZR       United Food^
UNITED HAMPSHIRE US REIT                                    SGXC39411175        ODBU      UtdHampshReitUSD
UNITED OVERSEAS AUSTRALIA LTD                               AU000000UOS4        EH5       UOA
UNITED OVERSEAS BANK LIMITED                                SG1M31001969        U11       UOB
UNITED OVERSEAS INSURANCE LTD                               SG1M91002014        U13       UOI
UNITED SSE 50 CHINA ETF                                     SG1Y89950071        JK8       UETF SSE50China
UNITEDMICROELECUS$400M Z260707                              XS2358241243        5YRB      UnitedMicroelectrz260707
UNIVERSAL RESOURCE & SVCS LTD                               SG1BI3000004        BGO       Universal Res
UNUSUAL LIMITED                                             SG1DF5000004        1D1       UnUsUaL
UOB 5XLONGSOCGEN 230713                                     LU2267110232        DHBW      UOB 5xLongSG230713
UOB 5XLONGSOCGEN 240306                                     LU2267120975        DOGW      UOB 5xLongSG240306
UOB 5XSHORTSOCGEN 221201                                    LU1986494737        DEZW      UOB 5xShortSG221201
UOB 5XSHORTSOCGEN 240306                                    LU2267121197        DSMW      UOB 5xShortSG240306
UOB A$300M F210406                                          AU3FN0035291        6L6B      UOB f210406 S
UOB A$500M F220725                                          AU3FN0049110        IGSB      UOB f220725 S
UOB A$750M F251027                                          AU3FN0057154        OMMB      UOB f251027 S
UOB APAC GREEN REIT ETF                                     SGXC32426998        GRN       UOB AP GRN REIT S$
UOB APAC GREEN REIT ETF                                     SGXC32426998        GRE       UOB AP GRN REIT US$
UOB AUD250M F240520                                         AU3FN0060455        45BB      UOB f240520 S
UOB AUD900M F270224                                         AU3FN0066544        VEJB      UOB f270224 S
UOB CNY650M4.5%N320406                                      XS2463967369        LYBB      UOB n4.5%320406S
UOB EUR1.5B0.387%B250317                                    XS2456884746        FORB      UOB b0.387%250317S
UOB EUR1B0.01%B271201                                       XS2264978623        EHEB      UOB b0.01%271201 S
UOB EUR500M0.25%B230911                                     XS1877520194        HPGB      UOB b0.25%230911S
UOB EUR500M0.5%B250116                                      XS1750083229        8EYB      UOB b0.5%250116S
UOB EUR750M0.1%B290525                                      XS2345845882        NMEB      UOB b0.1%290525 S
UOB GBP350M F230228                                         XS1781700742        8KRB      UOB f230228 S
UOB GBP850M F260921                                         XS2387450476        5B8B      UOB f260921 S
UOB HK$1.2B0.635%N240816                                    HK0000757747        WLUB      UOB n0.635%240816 S
UOB HKD700M 3.19% N280826                                   XS1480822516        4Q0B      UOB n3.19%280826 S
UOB MB ECW221028                                            SGXN43966120        9F4W      UOB MB eCW221028
UOB MB ECW221230                                            SGXN83356737        XI9W      UOB MB eCW221230
UOB MB EPW221101                                            SGXN21923366        TFLW      UOB MB ePW221101
UOB MB EPW221230                                            SGXN63539070        RTIW      UOB MB ePW221230
UOB S$150M2.25%PERPCAPSEC                                   SGXF91929004        GVBB      UOB n2.25%PerCapSec S
UOB S$600M2.55%PERPCAPSEC                                   SGXF73188736        JBMB      UOB n2.55%PerCapSec S
UOB S$750M 3.5%N290227                                      SG79A8000002        6D0B      UOB n3.5%290227 S
UOB S$750M3.58%PERPCAPSEC                                   SGXF48097749        1N1B      UOBn3.58%PerCapSec S
UOB SGD400M4.25%PERPCAPSEC                                  SGXF56824851        HQBB      UOB 4.25%PerCapSec S
UOB US$100MZ501027                                          XS2172502184        WYVB      UOB z501027S
UOB US$1B3.863%N321007A                                     US91127KAH59        PDMB      UOB n3.863%321007A
UOB US$1B3.863%N321007R                                     US91127LAH33        ZW4B      UOB n3.863%321007R
UOB US$40M Z461005                                          XS1498932885        4W6B      UOB z461005S
UOB US$40M Z461013                                          XS1502916403        4Y4B      UOB z461013 S
UOB US$500M 2.5%N200318                                     XS1111112782        16IB      UOB n2.5%200318 S
UOB US$500M F210423A                                        US91127KAB89        8SHB      UOB f210423A
UOB US$500M F210423R                                        US91127LAB62        8SIB      UOB f210423R
UOB US$50M Z360927                                          XS1492626798        4T9B      UOB z360927 S
UOB US$600M1.75%N310316                                     XS2230275633        SXIB      UOB n1.75%310316S
UOB US$600M3.75%N290415A                                    US91127KAC62        LOKB      UOB n3.75%290415A
UOB US$600M3.75%N290415R                                    US91127LAC46        FVAB      UOB n3.75%290415R
UOB US$650M3.875%PERPCAPSEC                                 XS1699845068        82HB      UOBn3.875%PerCapSec S
UOB US$700M3.2%N210423A                                     US91127KAA07        8SFB      UOB n3.2%210423A
UOB US$700M3.2%N210423R                                     US91127LAA89        8SGB      UOB n3.2%210423R
UOB US$750M1.25%N260414A                                    US91127KAD46        TNVB      UOB n1.25%260414A
UOB US$750M1.25%N260414R                                    US91127LAD29        9B5B      UOB n1.25%260414R
UOB US$750M2%N311014A                                       US91127KAE29        SHQB      UOB n2%311014A
UOB US$750M2%N311014R                                       US91127LAE02        QRZB      UOB n2%311014R
UOB US$750M3.059%N250407A                                   US91127KAF93        YBTB      UOB n3.059%250407A
UOB US$750M3.059%N250407R                                   US91127LAF76        LQHB      UOB n3.059%250407R
UOB USD350M F250407A                                        US91127KAG76        OFVB      UOB f250407 A
UOB USD350M F250407R                                        US91127LAG59        IEQB      UOB f250407 R
UOB USD500M1.625%B220905                                    XS2050420590        QCKB      UOB b1.625%220905S
UOB-KAY HIAN HOLDINGS LIMITED                               SG1J21887414        U10       UOB Kay Hian
UOL GROUP LIMITED                                           SG1S83002349        U14       UOL
UOL TREASURY S$200M3%N240523                                SGXF96761154        WF6B      UOLTreasury n3%240523S
UOLTREASURY S$400M2.33%N280831                              SGXF31421195        EBQB      UOLTreasuryn2.33%280831S
UPL LIMITED GDR                                             US90320U1152        BYS       GDR UPL US$
UPL US$300M4.5%N280308                                      XS1789391148        8LSB      UPL n4.5%280308S
UPL US$400M5.25%PERCAPSEC                                   XS2125139464        NEZB      UPL 5.25%PerCapSec S
UPL US$500M4.625%N300616                                    XS2189565992        XYMB      UPL n4.625%300616S
USP GROUP LIMITED                                           SG1CH0000007        BRS       USP Group^
V2Y CORPORATION LTD.                                        SGXE31442804        V2Y       V2Y Corp
VALLIANZ HOLDINGS LTD                                       SGXE15078822        WPC       Vallianz
VALLIANZ US$22.5M4%PERPSEC                                  SG6VB7000002        22TB      Vallianz4%PerSecS
VALUEMAX GROUP LIMITED                                      SG2G29997704        T6I       ValueMax
